|state_code|county_code|site_number|parameter_code|poc|parameter_name|open_date|close_date|concurred_exclusions|dominant_source|measurement_scale|measurement_scale_def|monitoring_objective|last_method_code|last_method_description|last_method_begin_date|naaqs_primary_monitor|qa_primary_monitor|monitor_type|networks|monitoring_agency_code|monitoring_agency|si_id|latitude|longitude|datum|lat_lon_accuracy|elevation|probe_height|pl_probe_location|local_site_name|address|state_name|county_name|city_name|cbsa_code|cbsa_name|csa_code|csa_name|tribal_code|tribe_name
10|01|073|1005|88101|1|PM2.5 - Local Conditions|1999-01-03|||MOBILE|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-01|Y|Y|SLAMS||0550|Jefferson County, AL  Department Of Health|177|33.331111|-87.003611|WGS84|15.0|163.0|5.0|OTHER|McAdory| ROUTE 8 MCADORY|Alabama|Jefferson|Not in a City|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
11|01|101|1002|88101|1|PM2.5 - Local Conditions|2009-01-16|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01||Y|SLAMS||0013|Al Dept Of Env Mgt|298|32.412811|-86.263394|NAD83|4.0|76.2|4.0|GROUND LEVEL SUPPORT|MOMS, ADEM|1350 COLISEUM BLVD, MONTGOMERY, ALABAMA|Alabama|Montgomery|Montgomery|33860|Montgomery, AL||||
12|01|073|1005|88101|2|PM2.5 - Local Conditions|1999-01-03|2020-01-07||MOBILE|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-04|||||0550|Jefferson County, AL  Department Of Health|177|33.331111|-87.003611|WGS84|15.0|163.0|5.0|OTHER|McAdory| ROUTE 8 MCADORY|Alabama|Jefferson|Not in a City|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
13|01|069|0003|88101|1|PM2.5 - Local Conditions|2005-01-07|2019-12-31||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|||||0013|Al Dept Of Env Mgt|92267|31.224783|-85.390789|NAD83|1.0|264.0||TOP OF BUILDING|DOTHAN (CIVIC CENTER)|126 NORTH ST. ANDREWS STREET (CIVIC CENTER)|Alabama|Houston|Dothan|20020|Dothan, AL|222|Dothan-Enterprise-Ozark, AL||
14|01|113|0001|88101|1|PM2.5 - Local Conditions|1999-01-01|2016-09-28||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|||||0013|Al Dept Of Env Mgt|316|32.472136|-85.005028|NAD83|0.0|73.7616||SIDE OF BUILDING|PHENIX CITY|1319, 9th Avenue, Phenix City, AL 36837|Alabama|Russell|Phenix City|17980|Columbus, GA-AL|194|Columbus-Auburn-Opelika, GA-AL||
15|01|103|0011|88101|3|PM2.5 - Local Conditions|2009-04-01||All (2009-04-03 - 2010-12-31); All (2020-07-01 - 2022-07-31)|AREA|MIDDLE SCALE|100 M TO 500 M|POPULATION EXPOSURE|236|Teledyne T640 at 5.0 LPM - Broadband spectroscopy|2020-07-31|||SPM||0013|Al Dept Of Env Mgt|309|34.530717|-86.967536|NAD83|4.0|173.74|3.0|GROUND LEVEL SUPPORT|DECATUR, Alabama|P.O. BOX 2224 WALLACE DEVELOPMENT CENTER. DECATUR, ALABAMA|Alabama|Morgan|Decatur|19460|Decatur, AL|290|Huntsville-Decatur-Albertville, AL||
16|01|113|0003|88101|2|PM2.5 - Local Conditions|2017-01-18|||AREA|URBAN SCALE|4 KM TO 50 KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2017-01-18|||SLAMS||0013|Al Dept Of Env Mgt|103917|32.437028|-84.999653|NAD83|4.0|25.0|3.0|GROUND LEVEL SUPPORT|PHENIX CITY - SOUTH GIRARD SCHOOL|510 6th Place South, Phenix City, Alabama  36869|Alabama|Russell|Phenix City|17980|Columbus, GA-AL|194|Columbus-Auburn-Opelika, GA-AL||
17|01|073|2003|88101|2|PM2.5 - Local Conditions|1999-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-04|||SLAMS||0550|Jefferson County, AL  Department Of Health|185|33.499722|-86.924167|WGS84|15.0|191.0|5.0||Wylam|1242 JERSEY ST WYLAM AL|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
18|01|101|1002|88101|2|PM2.5 - Local Conditions|2009-01-16|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|298|32.412811|-86.263394|NAD83|4.0|76.2|4.0|GROUND LEVEL SUPPORT|MOMS, ADEM|1350 COLISEUM BLVD, MONTGOMERY, ALABAMA|Alabama|Montgomery|Montgomery|33860|Montgomery, AL||||
19|01|097|0003|88101|1|PM2.5 - Local Conditions|2002-07-19|||AREA|REGIONAL SCALE|50 TO HUNDREDS KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|244|30.770181|-88.087761|NAD83|4.0|10.67|2.0|GROUND LEVEL SUPPORT|CHICKASAW|Iroquois and Azalea, CHICKASAW, MOBILE CO.,  ALABAMA|Alabama|Mobile|Chickasaw|33660|Mobile, AL|380|Mobile-Daphne-Fairhope, AL||
20|01|027|0001|88101|1|PM2.5 - Local Conditions|1999-01-01|||AREA|REGIONAL SCALE|50 TO HUNDREDS KM|REGIONAL TRANSPORT|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|20|33.284928|-85.803608|NAD83|4.0|344.42||SIDE OF BUILDING|ASHLAND|ASHLAND AIRPORT|Alabama|Clay|Ashland||||||
21|01|089|0014|88101|1|PM2.5 - Local Conditions|1999-01-01|||AREA|URBAN SCALE|4 KM TO 50 KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2008-01-16|Y|Y|SLAMS||0300|City of Huntsville, Div of Natural Resources|233|34.687761|-86.586362|WGS84|0.0|183.0|4.0|TOP OF BUILDING|HUNTSVILLE OLD AIRPORT|2165 AIRPORT ROAD SW|Alabama|Madison|Huntsville|26620|Huntsville, AL|290|Huntsville-Decatur-Albertville, AL||
22|01|113|0003|88101|1|PM2.5 - Local Conditions|2017-01-18|2020-12-31||AREA|URBAN SCALE|4 KM TO 50 KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2017-01-18|||||0013|Al Dept Of Env Mgt|103917|32.437028|-84.999653|NAD83|4.0|25.0|3.0|GROUND LEVEL SUPPORT|PHENIX CITY - SOUTH GIRARD SCHOOL|510 6th Place South, Phenix City, Alabama  36869|Alabama|Russell|Phenix City|17980|Columbus, GA-AL|194|Columbus-Auburn-Opelika, GA-AL||
23|01|073|1010|88101|1|PM2.5 - Local Conditions|2004-01-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-04|Y|Y|SLAMS||0550|Jefferson County, AL  Department Of Health|180|33.545278|-86.549167|WGS84|15.0|195.0|4.0|OTHER|Leeds| 201 ASHVILLE ROAD|Alabama|Jefferson|Leeds|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
24|01|125|0004|88101|1|PM2.5 - Local Conditions|2002-10-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y|Y|SLAMS||0013|Al Dept Of Env Mgt|91349|33.189931|-87.484189|NAD83|1.0|128.0|2.0|GROUND LEVEL SUPPORT|VA, TUSCALOOSA|3701 LOOP ROAD EAST|Alabama|Tuscaloosa|Tuscaloosa|46220|Tuscaloosa, AL||||
25|01|073|2003|88101|1|PM2.5 - Local Conditions|1999-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-01|Y|Y|SLAMS||0550|Jefferson County, AL  Department Of Health|185|33.499722|-86.924167|WGS84|15.0|191.0|5.0|OTHER|Wylam|1242 JERSEY ST WYLAM AL|Alabama|Jefferson|Birmingham|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
26|01|003|0010|88101|1|PM2.5 - Local Conditions|2000-01-01|||POINT|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|Y||SLAMS||0013|Al Dept Of Env Mgt|7|30.497478|-87.880258|NAD83|4.0|37.19|10.0|GROUND LEVEL SUPPORT|FAIRHOPE, Alabama|FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA|Alabama|Baldwin|Fairhope|19300|Daphne-Fairhope-Foley, AL|380|Mobile-Daphne-Fairhope, AL||
27|01|073|1010|88101|2|PM2.5 - Local Conditions|2004-01-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|142|BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric|2013-01-04|||SLAMS||0550|Jefferson County, AL  Department Of Health|180|33.545278|-86.549167|WGS84|15.0|195.0|4.0|OTHER|Leeds| 201 ASHVILLE ROAD|Alabama|Jefferson|Leeds|13820|Birmingham-Hoover, AL|142|Birmingham-Hoover-Talladega, AL||
28|01|113|0001|88101|2|PM2.5 - Local Conditions|2004-05-17|2016-09-28||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2016-07-01|||||0013|Al Dept Of Env Mgt|316|32.472136|-85.005028|NAD83|0.0|73.7616||SIDE OF BUILDING|PHENIX CITY|1319, 9th Avenue, Phenix City, AL 36837|Alabama|Russell|Phenix City|17980|Columbus, GA-AL|194|Columbus-Auburn-Opelika, GA-AL||
29|01|113|0003|88101|3|PM2.5 - Local Conditions|2017-09-18||All (2017-09-17 - 2019-09-17)|AREA|URBAN SCALE|4 KM TO 50 KM|HIGHEST CONCENTRATION|209|Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation|2017-09-18|Y|Y|SPM||0013|Al Dept Of Env Mgt|103917|32.437028|-84.999653|NAD83|4.0|25.0|3.0|GROUND LEVEL SUPPORT|PHENIX CITY - SOUTH GIRARD SCHOOL|510 6th Place South, Phenix City, Alabama  36869|Alabama|Russell|Phenix City|17980|Columbus, GA-AL|194|Columbus-Auburn-Opelika, GA-AL||
0|02|090|0034|88101|1|PM2.5 - Local Conditions|2009-11-04||||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2017-05-24|Y||SLAMS|NCORE|0015|Alaska Department Of Environmental Conservation|96405|64.84569|-147.727413|WGS84|4.0|132.0||TOP OF BUILDING|NCORE|809 Pioneer Road|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
1|02|090|0034|88101|2|PM2.5 - Local Conditions|2013-05-08||||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2013-05-08|||SLAMS|NCORE|0015|Alaska Department Of Environmental Conservation|96405|64.84569|-147.727413|WGS84|4.0|132.0||TOP OF BUILDING|NCORE|809 Pioneer Road|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
2|02|090|0035|88101|4|PM2.5 - Local Conditions|2017-06-21|2019-07-03||AREA|MIDDLE SCALE|100 M TO 500 M|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2017-06-21|||||0015|Alaska Department Of Environmental Conservation|96863|64.762973|-147.310297|WGS84|5.0|145.0|4.0|TOP OF BUILDING|North Pole Fire Station #3|3288 Hurst Road, North Pole, Alaska 99705|Alaska|Fairbanks North Star |Not in a City|21820|Fairbanks, AK||||
3|02|110|0004|88101|1|PM2.5 - Local Conditions|1998-11-19|2018-07-30||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2015-04-01|||SLAMS||0015|Alaska Department Of Environmental Conservation|408|58.388497|-134.567237|WGS84|0.0|15.0|6.0|TOP OF BUILDING|Floyd Dryden Middle School|3800 MENDENHALL LOOP ROAD|Alaska|Juneau |Juneau|27940|Juneau, AK||||
4|02|110|0004|88101|3|PM2.5 - Local Conditions|2009-08-21|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2009-08-21|Y||SLAMS||0015|Alaska Department Of Environmental Conservation|408|58.388497|-134.567237|WGS84|0.0|15.0|8.0|TOP OF BUILDING|Floyd Dryden Middle School|3800 MENDENHALL LOOP ROAD|Alaska|Juneau |Juneau|27940|Juneau, AK||||
5|02|090|0034|88101|6|PM2.5 - Local Conditions|2017-01-01|2017-05-24|||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2017-01-01|||||0015|Alaska Department Of Environmental Conservation|96405|64.84569|-147.727413|WGS84|4.0|132.0||TOP OF BUILDING|NCORE|809 Pioneer Road|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
6|02|020|1004|88101|3|PM2.5 - Local Conditions|2009-01-01|2019-06-30|||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2009-01-01|Y||SLAMS||0732|Municipality Of Anchorage Air Pollution Control Agency|376|61.3267|-149.569707|WGS84|0.0|100.0|10.4|TOP OF BUILDING|PARKGATE/EAGLE RIVER|11723 OLD GLENN HIGHWAY|Alaska|Anchorage |Anchorage|11260|Anchorage, AK||||
7|02|020|0018|88101|3|PM2.5 - Local Conditions|2009-01-01||||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2009-01-01|Y||SLAMS||0015|Alaska Department Of Environmental Conservation|353|61.205861|-149.824602|WGS84|6.0|39.0|9.0|TOP OF BUILDING|GARDEN/TRINITY CHRISTIAN CHURCH|3000 EAST 16TH AVENUE|Alaska|Anchorage |Anchorage|11260|Anchorage, AK||||
8|02|090|0035|88101|1|PM2.5 - Local Conditions|2012-03-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2017-07-01|Y|Y|SLAMS||0015|Alaska Department Of Environmental Conservation|96863|64.762973|-147.310297|WGS84|5.0|145.0|4.0|TOP OF BUILDING|North Pole Fire Station #3|3288 Hurst Road, North Pole, Alaska 99705|Alaska|Fairbanks North Star |Not in a City|21820|Fairbanks, AK||||
9|02|090|0034|88101|4|PM2.5 - Local Conditions|2017-01-01|2017-06-20|||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2017-01-01|||||0015|Alaska Department Of Environmental Conservation|96405|64.84569|-147.727413|WGS84|4.0|132.0||TOP OF BUILDING|NCORE|809 Pioneer Road|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
10|02|090|0010|88101|1|PM2.5 - Local Conditions|1998-10-23|2019-07-12||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2017-01-01|||||0015|Alaska Department Of Environmental Conservation|385|64.840672|-147.722461|WGS84|0.0|132.0|6.0|TOP OF BUILDING|STATE OFFICE BUILDING|675 7TH AVENUE, FAIRBANKS|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
11|02|170|0008|88101|1|PM2.5 - Local Conditions|1998-12-19|||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2018-08-08|||SLAMS||0015|Alaska Department Of Environmental Conservation|443|61.534163|-149.031655|WGS84|30.36|30.0|5.0|TOP OF BUILDING|BUTTE|HARRISON COURT,SITE LOCATED AT END OF CUL-DE-SAC|Alaska|Matanuska-Susitna |Not in a City|11260|Anchorage, AK||||
12|02|090|0040|88101|1|PM2.5 - Local Conditions|2019-07-15||||NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2019-07-15|Y||SLAMS||0015|Alaska Department Of Environmental Conservation|104479|64.84593|-147.69327|NAD83|10.0|135.0|4.0||A Street|397 Hamilton Ave|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
13|02|170|0008|88101|3|PM2.5 - Local Conditions|2011-08-11|||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2011-08-11|Y|Y|SLAMS||0015|Alaska Department Of Environmental Conservation|443|61.534163|-149.031655|WGS84|30.36|30.0|4.7|TOP OF BUILDING|BUTTE|HARRISON COURT,SITE LOCATED AT END OF CUL-DE-SAC|Alaska|Matanuska-Susitna |Not in a City|11260|Anchorage, AK||||
14|02|170|0012|88101|3|PM2.5 - Local Conditions|2010-01-01|2019-07-25||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2010-01-01|||||0015|Alaska Department Of Environmental Conservation|95305|61.598898|-149.10622|WGS84|30.0|72.0|4.0|TOP OF BUILDING|Palmer|SOUTH GULKANA STREET|Alaska|Matanuska-Susitna |Palmer|11260|Anchorage, AK||||
15|02|090|0035|88101|2|PM2.5 - Local Conditions|2017-01-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|HIGHEST CONCENTRATION; POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2019-07-18|||SLAMS||0015|Alaska Department Of Environmental Conservation|96863|64.762973|-147.310297|WGS84|5.0|145.0|4.0|TOP OF BUILDING|North Pole Fire Station #3|3288 Hurst Road, North Pole, Alaska 99705|Alaska|Fairbanks North Star |Not in a City|21820|Fairbanks, AK||||
16|02|090|0010|88101|2|PM2.5 - Local Conditions|1998-10-23|2019-07-12||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|145|R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric|2018-05-16|||||0015|Alaska Department Of Environmental Conservation|385|64.840672|-147.722461|WGS84|0.0|132.0|6.0|TOP OF BUILDING|STATE OFFICE BUILDING|675 7TH AVENUE, FAIRBANKS|Alaska|Fairbanks North Star |Fairbanks|21820|Fairbanks, AK||||
0|04|013|9997|88101|1|PM2.5 - Local Conditions|1999-01-01||||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|143|R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric|2011-07-02|||SLAMS|NCORE|0053|Arizona Department Of Environmental Quality|632|33.503833|-112.095767|WGS84|5.0|346.0|4.7|GROUND LEVEL SUPPORT|JLG SUPERSITE|4530 N 17TH AVENUE|Arizona|Maricopa|Phoenix|38060|Phoenix-Mesa-Scottsdale, AZ||||
1|04|013|9997|88101|3|PM2.5 - Local Conditions|2011-01-01|||AREA|NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2011-01-01|Y|Y|SLAMS|NCORE|0053|Arizona Department Of Environmental Quality|632|33.503833|-112.095767|WGS84|5.0|346.0|5.0|TOP OF BUILDING|JLG SUPERSITE|4530 N 17TH AVENUE|Arizona|Maricopa|Phoenix|38060|Phoenix-Mesa-Scottsdale, AZ||||
2|04|019|1028|88101|3|PM2.5 - Local Conditions|2011-01-23||||NEIGHBORHOOD|500 M TO 4KM|POPULATION EXPOSURE|170|Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation|2011-01-23|Y|Y|SLAMS|NCORE|0864|Pima County Department of Environmental Quality|697|32.29515|-110.9823|WGS84|0.0|703.0|||CHILDREN'S PARK NCore|400 W RIVER ROAD|Arizona|Pima|Tucson|46060|Tucson, AZ|536|Tucson-Nogales, AZ||
